Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Totalt antal brott;2015;Jan;221;772
Ale kommun;Totalt antal brott;2015;Feb;162;566
Ale kommun;Totalt antal brott;2015;Mar;197;688
Ale kommun;Totalt antal brott;2015;Apr;199;695
Ale kommun;Totalt antal brott;2015;Maj;216;754
Ale kommun;Totalt antal brott;2015;Jun;230;803
Ale kommun;Totalt antal brott;2015;Jul;187;653
Ale kommun;Totalt antal brott;2015;Aug;193;674
Ale kommun;Totalt antal brott;2015;Sep;241;841
Ale kommun;Totalt antal brott;2015;Okt;183;639
Ale kommun;Totalt antal brott;2015;Nov;164;573
Ale kommun;Totalt antal brott;2015;Dec;164;573
Alingsås kommun;Totalt antal brott;2015;Jan;324;822
Alingsås kommun;Totalt antal brott;2015;Feb;328;833
Alingsås kommun;Totalt antal brott;2015;Mar;396;1005
Alingsås kommun;Totalt antal brott;2015;Apr;348;883
Alingsås kommun;Totalt antal brott;2015;Maj;322;817
Alingsås kommun;Totalt antal brott;2015;Jun;376;954
Alingsås kommun;Totalt antal brott;2015;Jul;301;764
Alingsås kommun;Totalt antal brott;2015;Aug;330;838
Alingsås kommun;Totalt antal brott;2015;Sep;360;914
Alingsås kommun;Totalt antal brott;2015;Okt;443;1125
Alingsås kommun;Totalt antal brott;2015;Nov;292;741
Alingsås kommun;Totalt antal brott;2015;Dec;321;815
Alvesta kommun;Totalt antal brott;2015;Jan;125;640
Alvesta kommun;Totalt antal brott;2015;Feb;118;604
Alvesta kommun;Totalt antal brott;2015;Mar;137;701
Alvesta kommun;Totalt antal brott;2015;Apr;135;691
Alvesta kommun;Totalt antal brott;2015;Maj;162;829
Alvesta kommun;Totalt antal brott;2015;Jun;131;670
Alvesta kommun;Totalt antal brott;2015;Jul;178;911
Alvesta kommun;Totalt antal brott;2015;Aug;156;798
Alvesta kommun;Totalt antal brott;2015;Sep;137;701
Alvesta kommun;Totalt antal brott;2015;Okt;121;619
Alvesta kommun;Totalt antal brott;2015;Nov;103;527
Alvesta kommun;Totalt antal brott;2015;Dec;119;609
Aneby kommun;Totalt antal brott;2015;Jan;37;571
Aneby kommun;Totalt antal brott;2015;Feb;30;463
Aneby kommun;Totalt antal brott;2015;Mar;31;478
Aneby kommun;Totalt antal brott;2015;Apr;36;555
Aneby kommun;Totalt antal brott;2015;Maj;55;849
Aneby kommun;Totalt antal brott;2015;Jun;58;895
Aneby kommun;Totalt antal brott;2015;Jul;39;602
Aneby kommun;Totalt antal brott;2015;Aug;37;571
Aneby kommun;Totalt antal brott;2015;Sep;41;633
Aneby kommun;Totalt antal brott;2015;Okt;42;648
Aneby kommun;Totalt antal brott;2015;Nov;43;663
Aneby kommun;Totalt antal brott;2015;Dec;36;555
Arboga kommun;Totalt antal brott;2015;Jan;85;618
Arboga kommun;Totalt antal brott;2015;Feb;95;691
Arboga kommun;Totalt antal brott;2015;Mar;130;946
Arboga kommun;Totalt antal brott;2015;Apr;144;1048
Arboga kommun;Totalt antal brott;2015;Maj;128;931
Arboga kommun;Totalt antal brott;2015;Jun;115;837
Arboga kommun;Totalt antal brott;2015;Jul;121;880
Arboga kommun;Totalt antal brott;2015;Aug;183;1331
Arboga kommun;Totalt antal brott;2015;Sep;127;924
Arboga kommun;Totalt antal brott;2015;Okt;95;691
Arboga kommun;Totalt antal brott;2015;Nov;117;851
Arboga kommun;Totalt antal brott;2015;Dec;79;575
Arjeplog kommun;Totalt antal brott;2015;Jan;19;656
Arjeplog kommun;Totalt antal brott;2015;Feb;11;380
Arjeplog kommun;Totalt antal brott;2015;Mar;27;932
Arjeplog kommun;Totalt antal brott;2015;Apr;7;242
Arjeplog kommun;Totalt antal brott;2015;Maj;14;483
Arjeplog kommun;Totalt antal brott;2015;Jun;9;311
Arjeplog kommun;Totalt antal brott;2015;Jul;14;483
Arjeplog kommun;Totalt antal brott;2015;Aug;37;1277
Arjeplog kommun;Totalt antal brott;2015;Sep;29;1001
Arjeplog kommun;Totalt antal brott;2015;Okt;23;794
Arjeplog kommun;Totalt antal brott;2015;Nov;18;621
Arjeplog kommun;Totalt antal brott;2015;Dec;12;414
Arvidsjaur kommun;Totalt antal brott;2015;Jan;49;756
Arvidsjaur kommun;Totalt antal brott;2015;Feb;48;741
Arvidsjaur kommun;Totalt antal brott;2015;Mar;41;633
Arvidsjaur kommun;Totalt antal brott;2015;Apr;30;463
Arvidsjaur kommun;Totalt antal brott;2015;Maj;52;803
Arvidsjaur kommun;Totalt antal brott;2015;Jun;34;525
Arvidsjaur kommun;Totalt antal brott;2015;Jul;49;756
Arvidsjaur kommun;Totalt antal brott;2015;Aug;48;741
Arvidsjaur kommun;Totalt antal brott;2015;Sep;42;648
Arvidsjaur kommun;Totalt antal brott;2015;Okt;30;463
Arvidsjaur kommun;Totalt antal brott;2015;Nov;44;679
Arvidsjaur kommun;Totalt antal brott;2015;Dec;41;633
Arvika kommun;Totalt antal brott;2015;Jan;232;899
Arvika kommun;Totalt antal brott;2015;Feb;142;550
Arvika kommun;Totalt antal brott;2015;Mar;242;938
Arvika kommun;Totalt antal brott;2015;Apr;264;1023
Arvika kommun;Totalt antal brott;2015;Maj;274;1062
Arvika kommun;Totalt antal brott;2015;Jun;214;829
Arvika kommun;Totalt antal brott;2015;Jul;239;926
Arvika kommun;Totalt antal brott;2015;Aug;351;1360
Arvika kommun;Totalt antal brott;2015;Sep;211;818
Arvika kommun;Totalt antal brott;2015;Okt;255;988
Arvika kommun;Totalt antal brott;2015;Nov;176;682
Arvika kommun;Totalt antal brott;2015;Dec;195;756
Askersund kommun;Totalt antal brott;2015;Jan;76;683
Askersund kommun;Totalt antal brott;2015;Feb;44;395
Askersund kommun;Totalt antal brott;2015;Mar;70;629
Askersund kommun;Totalt antal brott;2015;Apr;87;781
Askersund kommun;Totalt antal brott;2015;Maj;80;718
Askersund kommun;Totalt antal brott;2015;Jun;75;674
Askersund kommun;Totalt antal brott;2015;Jul;138;1239
Askersund kommun;Totalt antal brott;2015;Aug;108;970
Askersund kommun;Totalt antal brott;2015;Sep;134;1203
Askersund kommun;Totalt antal brott;2015;Okt;107;961
Askersund kommun;Totalt antal brott;2015;Nov;129;1159
Askersund kommun;Totalt antal brott;2015;Dec;126;1132
Avesta kommun;Totalt antal brott;2015;Jan;134;598
Avesta kommun;Totalt antal brott;2015;Feb;112;500
Avesta kommun;Totalt antal brott;2015;Mar;170;759
Avesta kommun;Totalt antal brott;2015;Apr;223;995
Avesta kommun;Totalt antal brott;2015;Maj;165;737
Avesta kommun;Totalt antal brott;2015;Jun;175;781
Avesta kommun;Totalt antal brott;2015;Jul;195;870
Avesta kommun;Totalt antal brott;2015;Aug;226;1009
Avesta kommun;Totalt antal brott;2015;Sep;257;1147
Avesta kommun;Totalt antal brott;2015;Okt;177;790
Avesta kommun;Totalt antal brott;2015;Nov;174;777
Avesta kommun;Totalt antal brott;2015;Dec;180;804
Bengtsfors kommun;Totalt antal brott;2015;Jan;63;657
Bengtsfors kommun;Totalt antal brott;2015;Feb;59;615
Bengtsfors kommun;Totalt antal brott;2015;Mar;104;1084
Bengtsfors kommun;Totalt antal brott;2015;Apr;123;1282
Bengtsfors kommun;Totalt antal brott;2015;Maj;55;573
Bengtsfors kommun;Totalt antal brott;2015;Jun;112;1168
Bengtsfors kommun;Totalt antal brott;2015;Jul;64;667
Bengtsfors kommun;Totalt antal brott;2015;Aug;54;563
Bengtsfors kommun;Totalt antal brott;2015;Sep;48;500
Bengtsfors kommun;Totalt antal brott;2015;Okt;60;626
Bengtsfors kommun;Totalt antal brott;2015;Nov;59;615
Bengtsfors kommun;Totalt antal brott;2015;Dec;44;459
Berg kommun;Totalt antal brott;2015;Jan;26;369
Berg kommun;Totalt antal brott;2015;Feb;35;496
Berg kommun;Totalt antal brott;2015;Mar;36;511
Berg kommun;Totalt antal brott;2015;Apr;37;525
Berg kommun;Totalt antal brott;2015;Maj;60;851
Berg kommun;Totalt antal brott;2015;Jun;70;993
Berg kommun;Totalt antal brott;2015;Jul;44;624
Berg kommun;Totalt antal brott;2015;Aug;42;596
Berg kommun;Totalt antal brott;2015;Sep;47;667
Berg kommun;Totalt antal brott;2015;Okt;44;624
Berg kommun;Totalt antal brott;2015;Nov;31;440
Berg kommun;Totalt antal brott;2015;Dec;35;496
Bjurholm kommun;Totalt antal brott;2015;Jan;24;979
Bjurholm kommun;Totalt antal brott;2015;Feb;10;408
Bjurholm kommun;Totalt antal brott;2015;Mar;18;734
Bjurholm kommun;Totalt antal brott;2015;Apr;20;816
Bjurholm kommun;Totalt antal brott;2015;Maj;12;489
Bjurholm kommun;Totalt antal brott;2015;Jun;13;530
Bjurholm kommun;Totalt antal brott;2015;Jul;12;489
Bjurholm kommun;Totalt antal brott;2015;Aug;25;1020
Bjurholm kommun;Totalt antal brott;2015;Sep;8;326
Bjurholm kommun;Totalt antal brott;2015;Okt;15;612
Bjurholm kommun;Totalt antal brott;2015;Nov;16;653
Bjurholm kommun;Totalt antal brott;2015;Dec;20;816
Bjuv kommun;Totalt antal brott;2015;Jan;171;1145
Bjuv kommun;Totalt antal brott;2015;Feb;141;945
Bjuv kommun;Totalt antal brott;2015;Mar;181;1212
Bjuv kommun;Totalt antal brott;2015;Apr;148;991
Bjuv kommun;Totalt antal brott;2015;Maj;170;1139
Bjuv kommun;Totalt antal brott;2015;Jun;149;998
Bjuv kommun;Totalt antal brott;2015;Jul;127;851
Bjuv kommun;Totalt antal brott;2015;Aug;130;871
Bjuv kommun;Totalt antal brott;2015;Sep;170;1139
Bjuv kommun;Totalt antal brott;2015;Okt;159;1065
Bjuv kommun;Totalt antal brott;2015;Nov;130;871
Bjuv kommun;Totalt antal brott;2015;Dec;166;1112
Boden kommun;Totalt antal brott;2015;Jan;187;670
Boden kommun;Totalt antal brott;2015;Feb;228;817
Boden kommun;Totalt antal brott;2015;Mar;200;717
Boden kommun;Totalt antal brott;2015;Apr;158;566
Boden kommun;Totalt antal brott;2015;Maj;196;703
Boden kommun;Totalt antal brott;2015;Jun;218;781
Boden kommun;Totalt antal brott;2015;Jul;220;789
Boden kommun;Totalt antal brott;2015;Aug;296;1061
Boden kommun;Totalt antal brott;2015;Sep;275;986
Boden kommun;Totalt antal brott;2015;Okt;258;925
Boden kommun;Totalt antal brott;2015;Nov;220;789
Boden kommun;Totalt antal brott;2015;Dec;195;699
Bollebygd kommun;Totalt antal brott;2015;Jan;55;630
Bollebygd kommun;Totalt antal brott;2015;Feb;35;401
Bollebygd kommun;Totalt antal brott;2015;Mar;69;791
Bollebygd kommun;Totalt antal brott;2015;Apr;54;619
Bollebygd kommun;Totalt antal brott;2015;Maj;49;562
Bollebygd kommun;Totalt antal brott;2015;Jun;57;653
Bollebygd kommun;Totalt antal brott;2015;Jul;59;676
Bollebygd kommun;Totalt antal brott;2015;Aug;49;562
Bollebygd kommun;Totalt antal brott;2015;Sep;56;642
Bollebygd kommun;Totalt antal brott;2015;Okt;69;791
Bollebygd kommun;Totalt antal brott;2015;Nov;58;665
Bollebygd kommun;Totalt antal brott;2015;Dec;38;436
Bollnäs kommun;Totalt antal brott;2015;Jan;224;845
Bollnäs kommun;Totalt antal brott;2015;Feb;194;732
Bollnäs kommun;Totalt antal brott;2015;Mar;186;702
Bollnäs kommun;Totalt antal brott;2015;Apr;179;676
Bollnäs kommun;Totalt antal brott;2015;Maj;194;732
Bollnäs kommun;Totalt antal brott;2015;Jun;239;902
Bollnäs kommun;Totalt antal brott;2015;Jul;167;630
Bollnäs kommun;Totalt antal brott;2015;Aug;214;808
Bollnäs kommun;Totalt antal brott;2015;Sep;206;778
Bollnäs kommun;Totalt antal brott;2015;Okt;165;623
Bollnäs kommun;Totalt antal brott;2015;Nov;241;910
Bollnäs kommun;Totalt antal brott;2015;Dec;183;691
Borgholm kommun;Totalt antal brott;2015;Jan;53;496
Borgholm kommun;Totalt antal brott;2015;Feb;52;487
Borgholm kommun;Totalt antal brott;2015;Mar;28;262
Borgholm kommun;Totalt antal brott;2015;Apr;42;393
Borgholm kommun;Totalt antal brott;2015;Maj;62;580
Borgholm kommun;Totalt antal brott;2015;Jun;134;1255
Borgholm kommun;Totalt antal brott;2015;Jul;163;1526
Borgholm kommun;Totalt antal brott;2015;Aug;105;983
Borgholm kommun;Totalt antal brott;2015;Sep;77;721
Borgholm kommun;Totalt antal brott;2015;Okt;86;805
Borgholm kommun;Totalt antal brott;2015;Nov;67;627
Borgholm kommun;Totalt antal brott;2015;Dec;67;627
Borlänge kommun;Totalt antal brott;2015;Jan;455;895
Borlänge kommun;Totalt antal brott;2015;Feb;419;824
Borlänge kommun;Totalt antal brott;2015;Mar;571;1123
Borlänge kommun;Totalt antal brott;2015;Apr;531;1044
Borlänge kommun;Totalt antal brott;2015;Maj;520;1023
Borlänge kommun;Totalt antal brott;2015;Jun;599;1178
Borlänge kommun;Totalt antal brott;2015;Jul;523;1028
Borlänge kommun;Totalt antal brott;2015;Aug;623;1225
Borlänge kommun;Totalt antal brott;2015;Sep;677;1331
Borlänge kommun;Totalt antal brott;2015;Okt;583;1146
Borlänge kommun;Totalt antal brott;2015;Nov;500;983
Borlänge kommun;Totalt antal brott;2015;Dec;471;926
Borås kommun;Totalt antal brott;2015;Jan;1076;999
Borås kommun;Totalt antal brott;2015;Feb;1037;962
Borås kommun;Totalt antal brott;2015;Mar;1129;1048
Borås kommun;Totalt antal brott;2015;Apr;1008;935
Borås kommun;Totalt antal brott;2015;Maj;1102;1023
Borås kommun;Totalt antal brott;2015;Jun;1038;963
Borås kommun;Totalt antal brott;2015;Jul;958;889
Borås kommun;Totalt antal brott;2015;Aug;1012;939
Borås kommun;Totalt antal brott;2015;Sep;1095;1016
Borås kommun;Totalt antal brott;2015;Okt;1196;1110
Borås kommun;Totalt antal brott;2015;Nov;1051;975
Borås kommun;Totalt antal brott;2015;Dec;1013;940
Botkyrka kommun;Totalt antal brott;2015;Jan;1049;1176
Botkyrka kommun;Totalt antal brott;2015;Feb;966;1083
Botkyrka kommun;Totalt antal brott;2015;Mar;1036;1162
Botkyrka kommun;Totalt antal brott;2015;Apr;1202;1348
Botkyrka kommun;Totalt antal brott;2015;Maj;1246;1397
Botkyrka kommun;Totalt antal brott;2015;Jun;1177;1320
Botkyrka kommun;Totalt antal brott;2015;Jul;1118;1254
