Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Narkotikabrott;2015;Jan;9;31
Ale kommun;Narkotikabrott;2015;Feb;2;7
Ale kommun;Narkotikabrott;2015;Mar;4;14
Ale kommun;Narkotikabrott;2015;Apr;7;24
Ale kommun;Narkotikabrott;2015;Maj;15;52
Ale kommun;Narkotikabrott;2015;Jun;21;73
Ale kommun;Narkotikabrott;2015;Jul;9;31
Ale kommun;Narkotikabrott;2015;Aug;9;31
Ale kommun;Narkotikabrott;2015;Sep;11;38
Ale kommun;Narkotikabrott;2015;Okt;8;28
Ale kommun;Narkotikabrott;2015;Nov;14;49
Ale kommun;Narkotikabrott;2015;Dec;7;24
Alingsås kommun;Narkotikabrott;2015;Jan;46;117
Alingsås kommun;Narkotikabrott;2015;Feb;58;147
Alingsås kommun;Narkotikabrott;2015;Mar;71;180
Alingsås kommun;Narkotikabrott;2015;Apr;63;160
Alingsås kommun;Narkotikabrott;2015;Maj;42;107
Alingsås kommun;Narkotikabrott;2015;Jun;37;94
Alingsås kommun;Narkotikabrott;2015;Jul;33;84
Alingsås kommun;Narkotikabrott;2015;Aug;32;81
Alingsås kommun;Narkotikabrott;2015;Sep;54;137
Alingsås kommun;Narkotikabrott;2015;Okt;73;185
Alingsås kommun;Narkotikabrott;2015;Nov;45;114
Alingsås kommun;Narkotikabrott;2015;Dec;32;81
Alvesta kommun;Narkotikabrott;2015;Jan;1;5
Alvesta kommun;Narkotikabrott;2015;Feb;10;51
Alvesta kommun;Narkotikabrott;2015;Mar;7;36
Alvesta kommun;Narkotikabrott;2015;Apr;9;46
Alvesta kommun;Narkotikabrott;2015;Maj;6;31
Alvesta kommun;Narkotikabrott;2015;Jun;2;10
Alvesta kommun;Narkotikabrott;2015;Jul;4;20
Alvesta kommun;Narkotikabrott;2015;Aug;7;36
Alvesta kommun;Narkotikabrott;2015;Sep;7;36
Alvesta kommun;Narkotikabrott;2015;Okt;6;31
Alvesta kommun;Narkotikabrott;2015;Nov;4;20
Alvesta kommun;Narkotikabrott;2015;Dec;1;5
Aneby kommun;Narkotikabrott;2015;Jan;5;77
Aneby kommun;Narkotikabrott;2015;Feb;3;46
Aneby kommun;Narkotikabrott;2015;Mar;0;0
Aneby kommun;Narkotikabrott;2015;Apr;0;0
Aneby kommun;Narkotikabrott;2015;Maj;10;154
Aneby kommun;Narkotikabrott;2015;Jun;9;139
Aneby kommun;Narkotikabrott;2015;Jul;0;0
Aneby kommun;Narkotikabrott;2015;Aug;1;15
Aneby kommun;Narkotikabrott;2015;Sep;5;77
Aneby kommun;Narkotikabrott;2015;Okt;0;0
Aneby kommun;Narkotikabrott;2015;Nov;3;46
Aneby kommun;Narkotikabrott;2015;Dec;4;62
Arboga kommun;Narkotikabrott;2015;Jan;9;65
Arboga kommun;Narkotikabrott;2015;Feb;4;29
Arboga kommun;Narkotikabrott;2015;Mar;11;80
Arboga kommun;Narkotikabrott;2015;Apr;21;153
Arboga kommun;Narkotikabrott;2015;Maj;5;36
Arboga kommun;Narkotikabrott;2015;Jun;5;36
Arboga kommun;Narkotikabrott;2015;Jul;3;22
Arboga kommun;Narkotikabrott;2015;Aug;10;73
Arboga kommun;Narkotikabrott;2015;Sep;12;87
Arboga kommun;Narkotikabrott;2015;Okt;9;65
Arboga kommun;Narkotikabrott;2015;Nov;9;65
Arboga kommun;Narkotikabrott;2015;Dec;7;51
Arjeplog kommun;Narkotikabrott;2015;Jan;2;69
Arjeplog kommun;Narkotikabrott;2015;Feb;0;0
Arjeplog kommun;Narkotikabrott;2015;Mar;0;0
Arjeplog kommun;Narkotikabrott;2015;Apr;0;0
Arjeplog kommun;Narkotikabrott;2015;Maj;0;0
Arjeplog kommun;Narkotikabrott;2015;Jun;0;0
Arjeplog kommun;Narkotikabrott;2015;Jul;0;0
Arjeplog kommun;Narkotikabrott;2015;Aug;0;0
Arjeplog kommun;Narkotikabrott;2015;Sep;0;0
Arjeplog kommun;Narkotikabrott;2015;Okt;0;0
Arjeplog kommun;Narkotikabrott;2015;Nov;0;0
Arjeplog kommun;Narkotikabrott;2015;Dec;0;0
Arvidsjaur kommun;Narkotikabrott;2015;Jan;4;62
Arvidsjaur kommun;Narkotikabrott;2015;Feb;4;62
Arvidsjaur kommun;Narkotikabrott;2015;Mar;4;62
Arvidsjaur kommun;Narkotikabrott;2015;Apr;6;93
Arvidsjaur kommun;Narkotikabrott;2015;Maj;6;93
Arvidsjaur kommun;Narkotikabrott;2015;Jun;0;0
Arvidsjaur kommun;Narkotikabrott;2015;Jul;2;31
Arvidsjaur kommun;Narkotikabrott;2015;Aug;1;15
Arvidsjaur kommun;Narkotikabrott;2015;Sep;0;0
Arvidsjaur kommun;Narkotikabrott;2015;Okt;0;0
Arvidsjaur kommun;Narkotikabrott;2015;Nov;3;46
Arvidsjaur kommun;Narkotikabrott;2015;Dec;9;139
Arvika kommun;Narkotikabrott;2015;Jan;39;151
Arvika kommun;Narkotikabrott;2015;Feb;18;70
Arvika kommun;Narkotikabrott;2015;Mar;47;182
Arvika kommun;Narkotikabrott;2015;Apr;37;143
Arvika kommun;Narkotikabrott;2015;Maj;31;120
Arvika kommun;Narkotikabrott;2015;Jun;18;70
Arvika kommun;Narkotikabrott;2015;Jul;27;105
Arvika kommun;Narkotikabrott;2015;Aug;44;171
Arvika kommun;Narkotikabrott;2015;Sep;35;136
Arvika kommun;Narkotikabrott;2015;Okt;46;178
Arvika kommun;Narkotikabrott;2015;Nov;37;143
Arvika kommun;Narkotikabrott;2015;Dec;54;209
Askersund kommun;Narkotikabrott;2015;Jan;18;162
Askersund kommun;Narkotikabrott;2015;Feb;6;54
Askersund kommun;Narkotikabrott;2015;Mar;11;99
Askersund kommun;Narkotikabrott;2015;Apr;14;126
Askersund kommun;Narkotikabrott;2015;Maj;12;108
Askersund kommun;Narkotikabrott;2015;Jun;1;9
Askersund kommun;Narkotikabrott;2015;Jul;6;54
Askersund kommun;Narkotikabrott;2015;Aug;14;126
Askersund kommun;Narkotikabrott;2015;Sep;18;162
Askersund kommun;Narkotikabrott;2015;Okt;10;90
Askersund kommun;Narkotikabrott;2015;Nov;26;233
Askersund kommun;Narkotikabrott;2015;Dec;22;198
Avesta kommun;Narkotikabrott;2015;Jan;11;49
Avesta kommun;Narkotikabrott;2015;Feb;7;31
Avesta kommun;Narkotikabrott;2015;Mar;17;76
Avesta kommun;Narkotikabrott;2015;Apr;23;103
Avesta kommun;Narkotikabrott;2015;Maj;9;40
Avesta kommun;Narkotikabrott;2015;Jun;7;31
Avesta kommun;Narkotikabrott;2015;Jul;12;54
Avesta kommun;Narkotikabrott;2015;Aug;23;103
Avesta kommun;Narkotikabrott;2015;Sep;57;254
Avesta kommun;Narkotikabrott;2015;Okt;12;54
Avesta kommun;Narkotikabrott;2015;Nov;21;94
Avesta kommun;Narkotikabrott;2015;Dec;8;36
Bengtsfors kommun;Narkotikabrott;2015;Jan;7;73
Bengtsfors kommun;Narkotikabrott;2015;Feb;6;63
Bengtsfors kommun;Narkotikabrott;2015;Mar;12;125
Bengtsfors kommun;Narkotikabrott;2015;Apr;23;240
Bengtsfors kommun;Narkotikabrott;2015;Maj;7;73
Bengtsfors kommun;Narkotikabrott;2015;Jun;5;52
Bengtsfors kommun;Narkotikabrott;2015;Jul;2;21
Bengtsfors kommun;Narkotikabrott;2015;Aug;0;0
Bengtsfors kommun;Narkotikabrott;2015;Sep;0;0
Bengtsfors kommun;Narkotikabrott;2015;Okt;1;10
Bengtsfors kommun;Narkotikabrott;2015;Nov;8;83
Bengtsfors kommun;Narkotikabrott;2015;Dec;2;21
Berg kommun;Narkotikabrott;2015;Jan;3;43
Berg kommun;Narkotikabrott;2015;Feb;3;43
Berg kommun;Narkotikabrott;2015;Mar;13;184
Berg kommun;Narkotikabrott;2015;Apr;4;57
Berg kommun;Narkotikabrott;2015;Maj;5;71
Berg kommun;Narkotikabrott;2015;Jun;1;14
Berg kommun;Narkotikabrott;2015;Jul;0;0
Berg kommun;Narkotikabrott;2015;Aug;2;28
Berg kommun;Narkotikabrott;2015;Sep;3;43
Berg kommun;Narkotikabrott;2015;Okt;0;0
Berg kommun;Narkotikabrott;2015;Nov;1;14
Berg kommun;Narkotikabrott;2015;Dec;0;0
Bjurholm kommun;Narkotikabrott;2015;Jan;0;0
Bjurholm kommun;Narkotikabrott;2015;Feb;2;82
Bjurholm kommun;Narkotikabrott;2015;Mar;0;0
Bjurholm kommun;Narkotikabrott;2015;Apr;0;0
Bjurholm kommun;Narkotikabrott;2015;Maj;0;0
Bjurholm kommun;Narkotikabrott;2015;Jun;0;0
Bjurholm kommun;Narkotikabrott;2015;Jul;0;0
Bjurholm kommun;Narkotikabrott;2015;Aug;6;245
Bjurholm kommun;Narkotikabrott;2015;Sep;0;0
Bjurholm kommun;Narkotikabrott;2015;Okt;0;0
Bjurholm kommun;Narkotikabrott;2015;Nov;4;163
Bjurholm kommun;Narkotikabrott;2015;Dec;0;0
