Region;Brott;År;Period;Antal;/100 000 inv
Ale kommun;Våldsbrott ;2015;Jan;15;52
Ale kommun;Våldsbrott ;2015;Feb;8;28
Ale kommun;Våldsbrott ;2015;Mar;21;73
Ale kommun;Våldsbrott ;2015;Apr;17;59
Ale kommun;Våldsbrott ;2015;Maj;19;66
Ale kommun;Våldsbrott ;2015;Jun;18;63
Ale kommun;Våldsbrott ;2015;Jul;20;70
Ale kommun;Våldsbrott ;2015;Aug;17;59
Ale kommun;Våldsbrott ;2015;Sep;46;161
Ale kommun;Våldsbrott ;2015;Okt;20;70
Ale kommun;Våldsbrott ;2015;Nov;14;49
Ale kommun;Våldsbrott ;2015;Dec;21;73
Alingsås kommun;Våldsbrott ;2015;Jan;15;38
Alingsås kommun;Våldsbrott ;2015;Feb;18;46
Alingsås kommun;Våldsbrott ;2015;Mar;32;81
Alingsås kommun;Våldsbrott ;2015;Apr;28;71
Alingsås kommun;Våldsbrott ;2015;Maj;20;51
Alingsås kommun;Våldsbrott ;2015;Jun;30;76
Alingsås kommun;Våldsbrott ;2015;Jul;21;53
Alingsås kommun;Våldsbrott ;2015;Aug;39;99
Alingsås kommun;Våldsbrott ;2015;Sep;37;94
Alingsås kommun;Våldsbrott ;2015;Okt;51;129
Alingsås kommun;Våldsbrott ;2015;Nov;22;56
Alingsås kommun;Våldsbrott ;2015;Dec;30;76
Alvesta kommun;Våldsbrott ;2015;Jan;13;67
Alvesta kommun;Våldsbrott ;2015;Feb;9;46
Alvesta kommun;Våldsbrott ;2015;Mar;11;56
Alvesta kommun;Våldsbrott ;2015;Apr;27;138
Alvesta kommun;Våldsbrott ;2015;Maj;21;107
Alvesta kommun;Våldsbrott ;2015;Jun;10;51
Alvesta kommun;Våldsbrott ;2015;Jul;13;67
Alvesta kommun;Våldsbrott ;2015;Aug;18;92
Alvesta kommun;Våldsbrott ;2015;Sep;25;128
Alvesta kommun;Våldsbrott ;2015;Okt;15;77
Alvesta kommun;Våldsbrott ;2015;Nov;15;77
Alvesta kommun;Våldsbrott ;2015;Dec;12;61
Aneby kommun;Våldsbrott ;2015;Jan;2;31
Aneby kommun;Våldsbrott ;2015;Feb;1;15
Aneby kommun;Våldsbrott ;2015;Mar;3;46
Aneby kommun;Våldsbrott ;2015;Apr;2;31
Aneby kommun;Våldsbrott ;2015;Maj;3;46
Aneby kommun;Våldsbrott ;2015;Jun;2;31
Aneby kommun;Våldsbrott ;2015;Jul;1;15
Aneby kommun;Våldsbrott ;2015;Aug;6;93
Aneby kommun;Våldsbrott ;2015;Sep;7;108
Aneby kommun;Våldsbrott ;2015;Okt;4;62
Aneby kommun;Våldsbrott ;2015;Nov;2;31
Aneby kommun;Våldsbrott ;2015;Dec;3;46
Arboga kommun;Våldsbrott ;2015;Jan;5;36
Arboga kommun;Våldsbrott ;2015;Feb;13;95
Arboga kommun;Våldsbrott ;2015;Mar;11;80
Arboga kommun;Våldsbrott ;2015;Apr;14;102
Arboga kommun;Våldsbrott ;2015;Maj;22;160
Arboga kommun;Våldsbrott ;2015;Jun;11;80
Arboga kommun;Våldsbrott ;2015;Jul;12;87
Arboga kommun;Våldsbrott ;2015;Aug;16;116
Arboga kommun;Våldsbrott ;2015;Sep;15;109
Arboga kommun;Våldsbrott ;2015;Okt;10;73
Arboga kommun;Våldsbrott ;2015;Nov;10;73
Arboga kommun;Våldsbrott ;2015;Dec;17;124
Arjeplog kommun;Våldsbrott ;2015;Jan;2;69
Arjeplog kommun;Våldsbrott ;2015;Feb;0;0
Arjeplog kommun;Våldsbrott ;2015;Mar;2;69
Arjeplog kommun;Våldsbrott ;2015;Apr;0;0
Arjeplog kommun;Våldsbrott ;2015;Maj;1;35
Arjeplog kommun;Våldsbrott ;2015;Jun;1;35
Arjeplog kommun;Våldsbrott ;2015;Jul;0;0
Arjeplog kommun;Våldsbrott ;2015;Aug;2;69
Arjeplog kommun;Våldsbrott ;2015;Sep;0;0
Arjeplog kommun;Våldsbrott ;2015;Okt;1;35
Arjeplog kommun;Våldsbrott ;2015;Nov;2;69
Arjeplog kommun;Våldsbrott ;2015;Dec;0;0
Arvidsjaur kommun;Våldsbrott ;2015;Jan;3;46
Arvidsjaur kommun;Våldsbrott ;2015;Feb;1;15
Arvidsjaur kommun;Våldsbrott ;2015;Mar;4;62
Arvidsjaur kommun;Våldsbrott ;2015;Apr;4;62
Arvidsjaur kommun;Våldsbrott ;2015;Maj;10;154
Arvidsjaur kommun;Våldsbrott ;2015;Jun;2;31
Arvidsjaur kommun;Våldsbrott ;2015;Jul;3;46
Arvidsjaur kommun;Våldsbrott ;2015;Aug;3;46
Arvidsjaur kommun;Våldsbrott ;2015;Sep;2;31
Arvidsjaur kommun;Våldsbrott ;2015;Okt;0;0
Arvidsjaur kommun;Våldsbrott ;2015;Nov;4;62
Arvidsjaur kommun;Våldsbrott ;2015;Dec;3;46
Arvika kommun;Våldsbrott ;2015;Jan;19;74
Arvika kommun;Våldsbrott ;2015;Feb;14;54
Arvika kommun;Våldsbrott ;2015;Mar;25;97
Arvika kommun;Våldsbrott ;2015;Apr;18;70
Arvika kommun;Våldsbrott ;2015;Maj;13;50
Arvika kommun;Våldsbrott ;2015;Jun;17;66
Arvika kommun;Våldsbrott ;2015;Jul;23;89
Arvika kommun;Våldsbrott ;2015;Aug;17;66
Arvika kommun;Våldsbrott ;2015;Sep;12;47
Arvika kommun;Våldsbrott ;2015;Okt;25;97
Arvika kommun;Våldsbrott ;2015;Nov;15;58
Arvika kommun;Våldsbrott ;2015;Dec;11;43
Askersund kommun;Våldsbrott ;2015;Jan;9;81
Askersund kommun;Våldsbrott ;2015;Feb;2;18
Askersund kommun;Våldsbrott ;2015;Mar;9;81
Askersund kommun;Våldsbrott ;2015;Apr;4;36
Askersund kommun;Våldsbrott ;2015;Maj;2;18
Askersund kommun;Våldsbrott ;2015;Jun;11;99
Askersund kommun;Våldsbrott ;2015;Jul;13;117
Askersund kommun;Våldsbrott ;2015;Aug;4;36
Askersund kommun;Våldsbrott ;2015;Sep;23;207
Askersund kommun;Våldsbrott ;2015;Okt;3;27
Askersund kommun;Våldsbrott ;2015;Nov;19;171
Askersund kommun;Våldsbrott ;2015;Dec;15;135
Avesta kommun;Våldsbrott ;2015;Jan;11;49
Avesta kommun;Våldsbrott ;2015;Feb;24;107
Avesta kommun;Våldsbrott ;2015;Mar;15;67
Avesta kommun;Våldsbrott ;2015;Apr;10;45
Avesta kommun;Våldsbrott ;2015;Maj;13;58
Avesta kommun;Våldsbrott ;2015;Jun;28;125
Avesta kommun;Våldsbrott ;2015;Jul;30;134
Avesta kommun;Våldsbrott ;2015;Aug;14;62
Avesta kommun;Våldsbrott ;2015;Sep;33;147
Avesta kommun;Våldsbrott ;2015;Okt;8;36
Avesta kommun;Våldsbrott ;2015;Nov;16;71
Avesta kommun;Våldsbrott ;2015;Dec;24;107
Bengtsfors kommun;Våldsbrott ;2015;Jan;5;52
Bengtsfors kommun;Våldsbrott ;2015;Feb;4;42
Bengtsfors kommun;Våldsbrott ;2015;Mar;4;42
Bengtsfors kommun;Våldsbrott ;2015;Apr;5;52
Bengtsfors kommun;Våldsbrott ;2015;Maj;1;10
Bengtsfors kommun;Våldsbrott ;2015;Jun;4;42
Bengtsfors kommun;Våldsbrott ;2015;Jul;6;63
Bengtsfors kommun;Våldsbrott ;2015;Aug;6;63
Bengtsfors kommun;Våldsbrott ;2015;Sep;3;31
Bengtsfors kommun;Våldsbrott ;2015;Okt;5;52
Bengtsfors kommun;Våldsbrott ;2015;Nov;5;52
Bengtsfors kommun;Våldsbrott ;2015;Dec;7;73
Berg kommun;Våldsbrott ;2015;Jan;0;0
Berg kommun;Våldsbrott ;2015;Feb;2;28
Berg kommun;Våldsbrott ;2015;Mar;0;0
Berg kommun;Våldsbrott ;2015;Apr;11;156
Berg kommun;Våldsbrott ;2015;Maj;5;71
Berg kommun;Våldsbrott ;2015;Jun;5;71
Berg kommun;Våldsbrott ;2015;Jul;2;28
Berg kommun;Våldsbrott ;2015;Aug;8;113
Berg kommun;Våldsbrott ;2015;Sep;10;142
Berg kommun;Våldsbrott ;2015;Okt;8;113
Berg kommun;Våldsbrott ;2015;Nov;7;99
Berg kommun;Våldsbrott ;2015;Dec;4;57
Bjurholm kommun;Våldsbrott ;2015;Jan;5;204
Bjurholm kommun;Våldsbrott ;2015;Feb;2;82
Bjurholm kommun;Våldsbrott ;2015;Mar;0;0
Bjurholm kommun;Våldsbrott ;2015;Apr;2;82
Bjurholm kommun;Våldsbrott ;2015;Maj;0;0
Bjurholm kommun;Våldsbrott ;2015;Jun;0;0
Bjurholm kommun;Våldsbrott ;2015;Jul;0;0
Bjurholm kommun;Våldsbrott ;2015;Aug;1;41
Bjurholm kommun;Våldsbrott ;2015;Sep;0;0
Bjurholm kommun;Våldsbrott ;2015;Okt;2;82
Bjurholm kommun;Våldsbrott ;2015;Nov;0;0
Bjurholm kommun;Våldsbrott ;2015;Dec;1;41
Bjuv kommun;Våldsbrott ;2015;Jan;14;94
Bjuv kommun;Våldsbrott ;2015;Feb;10;67
Bjuv kommun;Våldsbrott ;2015;Mar;12;80
Bjuv kommun;Våldsbrott ;2015;Apr;18;121
Bjuv kommun;Våldsbrott ;2015;Maj;18;121
Bjuv kommun;Våldsbrott ;2015;Jun;8;54
Bjuv kommun;Våldsbrott ;2015;Jul;18;121
Bjuv kommun;Våldsbrott ;2015;Aug;25;167
Bjuv kommun;Våldsbrott ;2015;Sep;19;127
Bjuv kommun;Våldsbrott ;2015;Okt;13;87
Bjuv kommun;Våldsbrott ;2015;Nov;18;121
Bjuv kommun;Våldsbrott ;2015;Dec;17;114
Boden kommun;Våldsbrott ;2015;Jan;27;97
Boden kommun;Våldsbrott ;2015;Feb;20;72
Boden kommun;Våldsbrott ;2015;Mar;31;111
Boden kommun;Våldsbrott ;2015;Apr;17;61
Boden kommun;Våldsbrott ;2015;Maj;26;93
Boden kommun;Våldsbrott ;2015;Jun;19;68
Boden kommun;Våldsbrott ;2015;Jul;29;104
Boden kommun;Våldsbrott ;2015;Aug;41;147
Boden kommun;Våldsbrott ;2015;Sep;23;82
Boden kommun;Våldsbrott ;2015;Okt;29;104
Boden kommun;Våldsbrott ;2015;Nov;23;82
Boden kommun;Våldsbrott ;2015;Dec;29;104
Bollebygd kommun;Våldsbrott ;2015;Jan;0;0
Bollebygd kommun;Våldsbrott ;2015;Feb;1;11
Bollebygd kommun;Våldsbrott ;2015;Mar;5;57
Bollebygd kommun;Våldsbrott ;2015;Apr;0;0
Bollebygd kommun;Våldsbrott ;2015;Maj;2;23
Bollebygd kommun;Våldsbrott ;2015;Jun;4;46
Bollebygd kommun;Våldsbrott ;2015;Jul;8;92
Bollebygd kommun;Våldsbrott ;2015;Aug;4;46
Bollebygd kommun;Våldsbrott ;2015;Sep;2;23
Bollebygd kommun;Våldsbrott ;2015;Okt;5;57
Bollebygd kommun;Våldsbrott ;2015;Nov;5;57
Bollebygd kommun;Våldsbrott ;2015;Dec;2;23
Bollnäs kommun;Våldsbrott ;2015;Jan;23;87
Bollnäs kommun;Våldsbrott ;2015;Feb;17;64
Bollnäs kommun;Våldsbrott ;2015;Mar;31;117
Bollnäs kommun;Våldsbrott ;2015;Apr;26;98
Bollnäs kommun;Våldsbrott ;2015;Maj;20;75
Bollnäs kommun;Våldsbrott ;2015;Jun;27;102
Bollnäs kommun;Våldsbrott ;2015;Jul;25;94
Bollnäs kommun;Våldsbrott ;2015;Aug;28;106
Bollnäs kommun;Våldsbrott ;2015;Sep;31;117
Bollnäs kommun;Våldsbrott ;2015;Okt;17;64
Bollnäs kommun;Våldsbrott ;2015;Nov;24;91
Bollnäs kommun;Våldsbrott ;2015;Dec;52;196
Borgholm kommun;Våldsbrott ;2015;Jan;2;19
Borgholm kommun;Våldsbrott ;2015;Feb;2;19
Borgholm kommun;Våldsbrott ;2015;Mar;2;19
Borgholm kommun;Våldsbrott ;2015;Apr;4;37
Borgholm kommun;Våldsbrott ;2015;Maj;2;19
Borgholm kommun;Våldsbrott ;2015;Jun;14;131
Borgholm kommun;Våldsbrott ;2015;Jul;25;234
Borgholm kommun;Våldsbrott ;2015;Aug;6;56
Borgholm kommun;Våldsbrott ;2015;Sep;9;84
Borgholm kommun;Våldsbrott ;2015;Okt;3;28
Borgholm kommun;Våldsbrott ;2015;Nov;8;75
Borgholm kommun;Våldsbrott ;2015;Dec;24;225
Borlänge kommun;Våldsbrott ;2015;Jan;52;102
Borlänge kommun;Våldsbrott ;2015;Feb;53;104
Borlänge kommun;Våldsbrott ;2015;Mar;63;124
Borlänge kommun;Våldsbrott ;2015;Apr;47;92
Borlänge kommun;Våldsbrott ;2015;Maj;29;57
Borlänge kommun;Våldsbrott ;2015;Jun;44;87
Borlänge kommun;Våldsbrott ;2015;Jul;55;108
Borlänge kommun;Våldsbrott ;2015;Aug;48;94
Borlänge kommun;Våldsbrott ;2015;Sep;41;81
Borlänge kommun;Våldsbrott ;2015;Okt;62;122
Borlänge kommun;Våldsbrott ;2015;Nov;48;94
Borlänge kommun;Våldsbrott ;2015;Dec;33;65
Borås kommun;Våldsbrott ;2015;Jan;85;79
Borås kommun;Våldsbrott ;2015;Feb;91;84
Borås kommun;Våldsbrott ;2015;Mar;104;97
Borås kommun;Våldsbrott ;2015;Apr;103;96
Borås kommun;Våldsbrott ;2015;Maj;87;81
Borås kommun;Våldsbrott ;2015;Jun;90;84
Borås kommun;Våldsbrott ;2015;Jul;71;66
Borås kommun;Våldsbrott ;2015;Aug;83;77
Borås kommun;Våldsbrott ;2015;Sep;111;103
Borås kommun;Våldsbrott ;2015;Okt;108;100
Borås kommun;Våldsbrott ;2015;Nov;87;81
Borås kommun;Våldsbrott ;2015;Dec;113;105
Botkyrka kommun;Våldsbrott ;2015;Jan;110;123
Botkyrka kommun;Våldsbrott ;2015;Feb;129;145
Botkyrka kommun;Våldsbrott ;2015;Mar;112;126
Botkyrka kommun;Våldsbrott ;2015;Apr;124;139
Botkyrka kommun;Våldsbrott ;2015;Maj;123;138
Botkyrka kommun;Våldsbrott ;2015;Jun;116;130
Botkyrka kommun;Våldsbrott ;2015;Jul;97;109
Botkyrka kommun;Våldsbrott ;2015;Aug;139;156
Botkyrka kommun;Våldsbrott ;2015;Sep;107;120
Botkyrka kommun;Våldsbrott ;2015;Okt;127;142
Botkyrka kommun;Våldsbrott ;2015;Nov;119;133
Botkyrka kommun;Våldsbrott ;2015;Dec;105;118
Boxholm kommun;Våldsbrott ;2015;Jan;3;56
Boxholm kommun;Våldsbrott ;2015;Feb;0;0
